keys,es,en,personaje,emocion,image,escena
intro_2_txt9_d22,Existe un gimnasio para que se hagan mas fuertes.,There is a gym to get stronger.,,,,
intro_2_txt9_d23,Pueden salir a matar zombies si quieren.,You can go out and kill zombies if you want.,,,,
intro_2_txt9_d24,Solo tengan cuidado.,Just be careful.,,,,
intro_2_txt9_d25,Les mostrare donde se quedaran.,I'll show you where you'll stay.,,,,
,,,,,,
intro_3_txt1_d1,Aqui pueden descansar.,You can rest here.,,,,
intro_3_txt1_d2,Sientanse como en su casa.,Make yourself at home.,,,,
intro_3_txt1_d3,Yo vivo en el edificio central.,I live in the main building.,,,,
intro_3_txt1_d4,Por cierto Havany...,By the way. Havany...,,,,
intro_3_txt1_d5,Puedes venir a buscarme cuando quieras. jejeje,You can come find me whenever you want. Hehehe,,,,
intro_3_txt1_d6,Siempre tendre tiempo disponible para ti.,I'll always have time for you.,,,,
intro_3_txt2_d1,No quiero que te acerques a el ¿Entendiste?,I don't want you to get close to him. Do you understand?,,,,
intro_3_txt2_d2,No confio en esa persona.,I don't trust that person.,,,,
intro_3_txt2_d3,Me contuve de decirle algo por que nos salvo.,I refrained from saying anything to him because he saved us.,,,,
intro_3_txt3_d1,No te preocupes cariño. ,Don't worry. darling.,,,,
intro_3_txt3_d2,A mi me da escalofrios tan solo de verlo.,Just looking at him gives me chills.,,,,
intro_3_txt3_d3,Gracias por preocuparte por mi.❤,Thank you for worrying about me. ❤,,,,
intro_3_txt3_d4,Por eso te amo tanto. ❤,That's why I love you so much. ❤,,,,
intro_3_txt3_d5,Vamos a dormir mi amor mañana sera otro dia. ❤,Let's go to slee. my love. Tomorrow is another day. ❤,,,,
,,,,,,
btn_sleep,Dormir,Sleep,,,,
btn_exit,Salir,Exit,,,,
btn_entrar,Entrar,Enter,,,,
txt_day,Dia,Day,,,,
btn_talk,Hablar,Talk,,,,
btn_work,Trabajar,Work,,,,
text_start,Presiona Enter para empezar,Press Enter to start,,,,
btn_nueva_partida,Nueva Partida,New Game,,,,
btn_cargar_partida,Cargar Partida,Load Game,,,,
txt_game_over,FIN DE LA PARTIDA,END GAME,,,,
btn_menu,Regresar al Menu,Return to Menu,,,,
btn_back,Regresar,Return,,,,
btn_next,Siguiente,Next,,,,
btn_sex,Sexo,Sex,,,,
btn_stay,Quedarse con ella,Stay with her,,,,
btn_entrenar,Entrenar,Train,,,,
btn_use,Usar,Use,,,,
txt_use_wasd,Usa WASD para moverte,Use WASD to move,,,,
txt_use_e,Usa E para curarte,Use E to heal,,,,
txt_use_q,Usa Q para recuperar energia,Use Q to recover energy,,,,
txt_use_space,Usa ESPACIO para hacer un dash,Use SPACE to dash,,,,
txt_use_click1,Usa Click Izquierdo para atacar,Use Left Click to attack,,,,
txt_use_click2,Usa Click Derecho para disparar,Use Right Click to shoot,,,,
btn_mission,Misiones,Quests,,,,
btn_aumento,Aumento,Boost,,,,
txt_gym,Gimnacio,Gym,,,,
txt_house,Casa,House,,,,
txt_forest,Bosque ,Forest,,,,
txt_shop,Tienda,Shop,,,,
txt_gunshop,Tienda de Armas,Weapons Shop,,,,
txt_bar,Bar,Bar,,,,
txt_office,Oficina,Office,,,,
txt_church,Iglesia,Church,,,,
txt_stily_house,Casa de Stily,Stily's House,,,,
btn_watch,Mirar,Look,,,,
txt_stats_damage,Daño,Damage,,,,
txt_stats_shield,Armadura,Armor,,,,
txt_stats_days,Dias,Days,,,,
visual_msg,¿Quieres cargar ,Do you want to load,,,,
txt_pause,PAUSA,PAUSE,,,,
txt_configuration,Configuracion,Configuration,,,,
txt_music,Musica,Music,,,,
txt_sounds,Sonidos,Sounds,,,,
txt_exit_game,Salir del juego,Exit Game,,,,
txt_to_sleep,Al dormir se guardara tu progreso.,When you sleep your progress will be saved.,,,,
txt_actividades,Hacer una actividad consume Energia y Cordura. Ten cuidado.,Doing an activity consumes Energy and Cor. Be careful.,,,,
txt_pess_esc,Presiona ESC para pausar,Press ESC to pause,,,,
txt_back_to_menu,Regresar al Menu,Return to Menu,,,,
btn_buy,Comprar,Buy,,,,
txt1_actions,Ya es tarde. Sera mejor que me vaya a dormir.,It's late. I'd better go to sleep.,,,,
market_txt1,¿Con que tu eres el nuevo? (El de la rica mujer),So you're the new guy? (The one with the rich woman),,,,
market_txt2,Si soy yo. ,Yeah it's me.,,,,
market_txt3,¿Estas corto de dinero verdad?,You're short on money right?,,,,
market_txt4,Si. La cuota que debemos pagarle a Ratzwel es muy cara.,Yes. The fee we have to pay Ratzwel is very high.,,,,
market_txt5, (Tal vez pueda aprovecharme de esto. Jajaja),(Maybe I can take advantage of this. Hahaha),,,,
market_txt6,Te dire algo me caiste bien. ¿Te gustaria trabajar en mi tienda?,I'll tell you something I like you. Would you like to work in my store?,,,,
market_txt7,¿De verdad haria eso por mi?,Would you really do that for me?,,,,
market_txt8,Claro muchacho. ,Sure kid.,,,,
market_txt9,!Muchas gracias de verdad!,Thank you very much really!,,,,
market_txt10,Pero hay una condicion. ,But there's one condition.,,,,
market_txt11,¿Condicion? ¿Que condicion?,Condition? What condition?,,,,
market_txt12,Dejame tener una comida con Havany. Me gustaria conocerla.,Let me have lunch with Havany. I'd like to meet her.,,,,
market_txt13,¿Pero que mierda dices? ¿Una comida?¿Estas enfermo de la cabeza?,What the hell are you talking about? A meal? Are you out of your mind?,,,,
market_txt14,Hey a mi me respetas.  Yo no te estoy obligando a nada.,Hey you respect me. I'm not forcing you to do anything.,,,,
market_txt15,Ademas nada en esta vida es gratis.,Besides nothing in this life is free.,,,,
market_txt16,Y no voy a hacer nada malo con tu mujer. Solo vamos a comer y ya.,And I'm not going to do anything bad to your wife. Let's just eat.,,,,
market_txt23,¿Entonces dime si o no? Solo es una comida.,So tell me yes or no? It's just a meal.,,,,
market_txt17,(Maldicion. Necesito el dinero si quiero sobrevivir aqui.),(Damn. I need the money if I want to survive here.),,,,
market_txt18,Pero no quiero que Havany pase por esto.,But I don't want Havany to go through this.,,,,
market_txt19,¿Que decision deberia tomar?,What decision should I make?,,,,
market_answ_1,¿Aceptas el trabajo por una comida con Havany?,Do you take the job for a meal with Havany?,,,,
market_resp_1,!Contratado! !Te encargo la tienda voy directo hacia ella! Jejeje,Hired! I'll take over the store I'll head straight for it! Hehehe,,,,
market_resp_2,!Entones largate y vuelve cuando cambies de opinion!,Then get lost and come back when you change your mind!,,,,
market_txt20,Que delicioso me la pase con tu mujer. ,What a wonderful time I had with your wife.,,,,
market_txt21,Me refiero a la comida eh. Jajaja,I mean the meal huh. Hahaha,,,,
market_txt22,Pero no te quedes ahi. !Pon te a trabajar!,But don't stop there. Get to work!,,,,
house_rep_txt1,❤❤❤❤!Que tengas un excelente dia mi amor!❤❤❤❤,❤❤❤❤! Have a great day my love! ❤❤❤❤,HAVANY,NORMAL,,REPUTATION0
house_rep_txt2,!Gracias mi vida!,Thank you my love!,PLAYER,NORMAL,,REPUTATION0
house_rep_txt3,❤!Te amo Havany!❤,❤! I love you Havany! ❤,PLAYER,NORMAL,,REPUTATION0
house_rep_txt4,❤!!Te amo con todo mi corazon!! !!Siempre sere solo tuya!!❤,❤!! I love you with all my heart!! I'll always be only yours!! ❤,HAVANY,NORMAL,,REPUTATION0
,,,,NORMAL,,
house_rep_txt2_txt1,❤❤❤!Ten buen dia!❤❤❤,❤❤❤! Have a nice day! ❤❤❤,HAVANYCORTA1,NORMAL,,REPUTATION1
house_rep_txt2_txt2,¿Tu falda no esta mas corta? ,Isn't your skirt shorter?,PLAYER,NORMAL,,REPUTATION1
house_rep_txt2_txt3,hmmm no siempre ha sido asi de corta...,Hmmm it hasn't always been this short...,HAVANYCORTA1,NORMAL,,REPUTATION1
house_rep_txt2_txt4,Ah bueno.,Oh well.,PLAYER,NORMAL,,REPUTATION1
house_rep_txt2_txt5,❤!Te amo Havany!❤,❤! I love you Havana! ❤,PLAYER,NORMAL,,REPUTATION1
house_rep_txt2_txt6,❤!!Te amo mi amor!!❤,❤!! I love you my love!! ❤,HAVANYCORTA1,NORMAL,,REPUTATION1
,,,,NORMAL,,
house_rep_txt3_txt1,Hola❤❤,Hello❤❤,HAVANYCORTA2,NORMAL,,REPUTATION2
house_rep_txt3_txt2,¿Enserio tu falda estaba asi de corta?,Was your skirt really that short?,PLAYER,NORMAL,,REPUTATION2
house_rep_txt3_txt3,mmh.. No es que la recorte un poco por que hace mucho calor...,Hmm... It's not like I cut it a little because it's too hot...,HAVANYCORTA2,NORMAL,,REPUTATION2
house_rep_txt3_txt4,Oh ya veo.,Oh I see.,PLAYER,NORMAL,,REPUTATION2
house_rep_txt3_txt5,!Te amo Havany!,I love you Havany!,PLAYER,NORMAL,,REPUTATION2
house_rep_txt3_txt6,Te amo...,I love you...,HAVANYCORTA2,NORMAL,,REPUTATION2
,,,,NORMAL,,
house_rep_txt4_txt1,¿Que quieres?❤,What do you want?❤,HAVANYCORTA3,NORMAL,,REPUTATION3
house_rep_txt4_txt2,¿Pero que le paso a tu falda?,But what happened to your skirt?,PLAYER,NORMAL,,REPUTATION3
house_rep_txt4_txt3,ah.. es que..,Ah... it's just...,HAVANYCORTA3,NORMAL,,REPUTATION3
house_rep_txt4_txt4,se me daño la que tenia...,My old one got damaged...,HAVANYCORTA3,NORMAL,,REPUTATION3
house_rep_txt4_txt5,asi que dejame tranquila por favor...,So please leave me alone...,HAVANYCORTA3,NORMAL,,REPUTATION3
house_rep_txt4_txt6,Intentare conseguirte una nueva...,I'll try to get you a new one...,PLAYER,NORMAL,,REPUTATION3
house_rep_txt4_txt7,No te preocupes... No es necesario..,Don't worry... There's no need...,HAVANYCORTA3,NORMAL,,REPUTATION3
house_rep_txt4_txt8,Entiendo... (¿Que le pasa? no es la misma Havany que conozco...),I understand... (What's wrong? It's not the same Havany I know...),PLAYER,NORMAL,,REPUTATION3
house_rep_txt4_txt9,Te amo Havany❤,I love you Havany❤,PLAYER,NORMAL,,REPUTATION3
house_rep_txt4_txt10,mhmm... Te...  quiero.....,mhmm... I... love... you...,HAVANYCORTA3,NORMAL,,REPUTATION3
,,,,NORMAL,,
house_rep_txt5_txt1,No me molestes estoy ocupada...,Don't bother me I'm busy...,HAVANYNUDE,NORMAL,,REPUTATION4
house_rep_txt5_txt2,!!!¿Por que estás desnuda?!!!,!!! Why are you naked?!!!,PLAYER,NORMAL,,REPUTATION4
house_rep_txt5_txt3,!¿Bueno a ti que te importa?!,What do you care?!,HAVANYNUDE,NORMAL,,REPUTATION4
house_rep_txt5_txt4,!!Dejame vivir mi vida como yo quiera!!,!! Let me live my life the way I want!!,HAVANYNUDE,NORMAL,,REPUTATION4
house_rep_txt5_txt5,!¿Pero que te esta pasando Havany?! ,What's happening to you Havany?!,PLAYER,NORMAL,,REPUTATION4
house_rep_txt5_txt6,!¿Por que me tratas asi?!,Why are you treating me like this?!,PLAYER,NORMAL,,REPUTATION4
house_rep_txt5_txt7,Mejor ya largate y deja de joderme...,You better go away and stop bothering me...,HAVANYNUDE,NORMAL,,REPUTATION4
house_rep_txt5_txt8,Que tengo muchas cosas que hacer...,I have a lot of things to do...,HAVANYNUDE,NORMAL,,REPUTATION4
house_rep_txt5_txt9,(!Tengo que hacer algo para recuperarla!),(I have to do something to get her back!),PLAYER,NORMAL,,REPUTATION4
house_rep_txt5_txt10,Te amo Havany...,I love you Havany...,PLAYER,NORMAL,,REPUTATION4
house_rep_txt5_txt11,...,...,HAVANYNUDE,NORMAL,,REPUTATION4
,,,,,,
house_sex_txt1,Lo siento. No podemos hacerlo sin condon amor...❤,Sorry. We can't do this without a condom  love...❤,,,,
house_sex_txt2,❤❤!Omg vienes preparado amor! !Soy toda tuya! ❤❤,❤❤! Omg  come prepared  love! I'm all yours! ❤❤,,,,
ntrgirl1_txt1,Hola Hermosura veo que al fin viniste... Jajaja. ,Hey  Beauty  I see you finally came... Hahaha.,,,,
ntrgirl1_txt2,.....,.....,,,,
ntrgirl1_txt3,¿Que es lo que quieres?,What do you want?,,,,
ntrgirl1_txt4,¿Por que tan molesta conmigo? ,Why are you so mad at me?,,,,
ntrgirl1_txt5,Yo te salve la vida a ti y a tu novio....,I saved you and your boyfriend's life....,,,,
ntrgirl1_txt6,Tienes razon... Disculpame...,You're right... Excuse me...,,,,
ntrgirl1_txt7,No te preocupes cariño. jejeje Y bien...,Don't worry  honey. Hehehe. So...,,,,
ntrgirl1_txt8,¿Que te trae por aqui lindura?,What brings you here  cutie?,,,,
ntrgirl1_txt9,..... Quiero que nos quites los impuestos que nos cobras...,..... I want you to take away the taxes you charge us...,,,,
ntrgirl1_txt10,JAJAJAJA No puedo hacer eso.,HAHAHAHA I can't do that.,,,,
ntrgirl1_txt11,A menos que.... Me des algo a cambio....,Unless... You give me something in return...,,,,
ntrgirl1_txt12,¿Que quieres....?,What do you want...?,,,,
ntrgirl1_txt13,Quiero que tu seas mi asistente personal.,I want you to be my personal assistant.,,,,
ntrgirl1_txt14,!!!!¿QUEEEEE?!!!,!!!!WHAAAT?!!!,,,,
ntrgirl1_txt15,!!!¿ESTAS LOCO?!!!,!!!ARE YOU CRAZY?!!!,,,,
ntrgirl1_txt16,No lo hare.,I won't do it.,,,,
ntrgirl1_txt17,Bien. Entonces seguire cobrandoles.,Fine. Then I'll keep charging you.,,,,
ntrgirl1_txt18,(Ay no. necesito que nos deje de cobrar para salir adelante.),(Oh no. I need him to stop charging us so we can get by.),,,,
ntrgirl1_txt19,¿Que deberia hacer?,What should I do?,,,,
ntrgirl1_answ,Aceptas ser la asistente de Ratzwel?,Will you be Ratzwel's assistant?,,,,
ntrgirl1_resp1,!FANTASTICO!  Que empiece el juego. jejeje,FANTASTIC! Let the game begin. Hehehe,,,,
ntrgirl1_resp2,!Entones largate y vuelve cuando cambies de opinion zorra!,Then get lost and come back when you change your mind bitch!,,,,
,,,,,,
girl_work1_txt1,Hola preciosa. ¿Como te llamas?,Hi gorgeous. What's your name?,,,,
girl_work1_txt2,Me llamo Havany.,My name is Havany.,,,,
girl_work1_txt3,Es un placer linda. Tienes un increible cuerpo.,It's a pleasure babe. You have an incredible body.,,,,
girl_work1_txt4,Nos hace falta gente asi de bella en este bar. ,We need people like that at this bar.,,,,
girl_work1_txt5,¿No te interesaria trabajar aqui?,Wouldn't you be interested in working here?,,,,
girl_work1_txt6,Tendras la oportunidad de subir de puesto si asi lo deseas.,You'll have the opportunity to move up if you want.,,,,
girl_work1_txt7,¿Que dices?,What do you say?,,,,
girl_work1_txt8,(Hmmm.. no estaria mal un ingreso extra.),(Hmmm... some extra income wouldn't be bad.),,,,
girl_work1_answ,¿Aceptas que Havany trabaje en el bar?,Would you accept Havany working at the bar?,,,,
girl_work1_resp1,!Muy bien! Empiezas en este instante preciosa.,Great! You're starting right now gorgeous.,,,,
girl_work1_resp2,Con ese cuerpazo y lo desaprovechas...,With that great body and you waste it...,,,,
,,,,,,
vnmkt1_txt1,!Buen dia señor! ¿Que se le ofrece?,Good morning sir! What can I do for you?,,NORMAL,res://art/cutscenes/market/v1/opendoor1-smile.png,market1
vnmkt1_txt2,!Buen dia linda! Vengo a informarle que...,Good morning babe! I came to inform you that...,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/opendoor1-smile.png,market1
vnmkt1_txt3,Tu novio ahora trabaja en mi tienda.,Your boyfriend now works at my store.,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/opendoor1-smile.png,market1
vnmkt1_txt4,¿De verdad? Eso es muy bueno. !Muchas gracias!,Really? That's very good. Thank you very much!,,NORMAL,res://art/cutscenes/market/v1/opendoor1-openm.png,market1
vnmkt1_txt5,No hay de que preciosura.,You're welcome.,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/opendoor1-openm.png,market1
vnmkt1_txt6,Solo que hay un precio que decidio pagar tu novio para trabajar.,It's just that there's a price your boyfriend decided to pay to work.,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/opendoor1-openm.png,market1
vnmkt1_txt7,Y ese precio fuiste tu...,And that price was you...,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/opendoor1-openm.png,market1
vnmkt1_txt8,Hoy vas a hacer mia...,Today you're going to make mine...,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/opendoor1-openm.png,market1
vnmkt1_txt9,¿Que? ¿De.. de que esta hablando? ,What? What... what are you talking about?,,NORMAL,res://art/cutscenes/market/v1/opendoor1-asustada.png,market1
vnmkt1_txt10,No.. no entiendo.,No... I don't understand.,,NORMAL,res://art/cutscenes/market/v1/opendoor1-asustada.png,market1
vnmkt1_txt11,El accedio a trabajar en la tienda a cambio de una noche contigo...,He agreed to work at the store in exchange for one night with you...,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/opendoor1-asustada.png,market1
vnmkt1_txt12,No.. no. eso no es verdad... tengo que hablar con el.,No... no. That's not true... I have to talk to him.,,NORMAL,res://art/cutscenes/market/v1/opendoor1-asustada2.png,market1
vnmkt1_txt13,!Dejame pasar!,Let me in!,,NORMAL,res://art/cutscenes/market/v1/opendoor1-asustada2.png,market1
vnmkt1_txt14,Muy tarde.. ,Too late...,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/opendoor1-asustada2.png,market1
vnmkt1_txt15,!El trato esta hecho!,The deal is done!,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/opendoor1-asustada2.png,market1
vnmkt1_txt16,!Ahora callate y obedece si no quieres que despida a tu novio!,Now shut up and obey if you don't want me to fire your boyfriend!,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/opendoor1-asustada2.png,market1
vnmkt1_txt17,,,,NORMAL,,market1
vnmkt1_txt18,!QUE ESTAS HACIENDO! ,WHAT ARE YOU DOING!,,NORMAL,res://art/cutscenes/market/v1/kiss1.png,market1
vnmkt1_txt19,!QUITA TU ASQUEROSA BOCA DE MI CARA!,GET YOUR FILTHY MOUTH OUT OF MY FACE!,,NORMAL,res://art/cutscenes/market/v1/kiss1.png,market1
vnmkt1_txt20,!Si no va a hacer por las buenas entonces tendre que obligarte!,If you're not going to do it the other way then I'll have to force you!,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/kiss1.png,market1
vnmkt1_txt21,Jajaja. Besas tan rico.❤,Hahaha. You kiss so well.❤,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/kiss1.png,market1
vnmkt1_txt22,Tienes unos labios hermosos,You have beautiful lips.,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/kiss1.png,market1
vnmkt1_txt23,Tu cara es tan preciosa que no puedo evitar exitarme con tan solo verte.❤,Your face is so gorgeous that I can't help but get turned on just by looking at you.❤,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/kiss1.png,market1
vnmkt1_txt24,!Eres un maldito...!,You're a fucking...!,,NORMAL,res://art/cutscenes/market/v1/kiss2.png,market1
vnmkt1_txt25,!Callate zorra! que yo tambien se que lo estas disfrutando...,Shut up bitch! I know you're enjoying it too...,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/kiss2.png,market1
vnmkt1_txt26,¿Disfrutarlo? Con un cerdo como tu...,Enjoying it? With a pig like you...,,NORMAL,res://art/cutscenes/market/v1/kiss2.png,market1
vnmkt1_txt27,Estoy evitando vomitarme...,I'm trying not to throw up...,,NORMAL,res://art/cutscenes/market/v1/kiss2.png,market1
vnmkt1_txt28,Te apesta la boca horrible....,Your mouth stinks horribly...,,NORMAL,res://art/cutscenes/market/v1/kiss2.png,market1
vnmkt1_txt29,Jajaja. Callate y dejame disfrutarte.,Hahaha. Shut up and let me enjoy you.,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/kiss3.png,market1
vnmkt1_txt30,Jamas he besado a una mujer tan exquisita...❤,I've never kissed such an exquisite woman...❤,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/kiss3.png,market1
vnmkt1_txt31,Si no fuera por mi novio....,If it weren't for my boyfriend...,,NORMAL,res://art/cutscenes/market/v1/kiss3.png,market1
vnmkt1_txt32,Si no fuera por tu novio no estarias haciendo esto zorra...,If it weren't for your boyfriend you wouldn't be doing this bitch...,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/kiss3.png,market1
vnmkt1_txt33,Hueles delicioso...,You smell delicious...,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/kiss4.png,market1
vnmkt1_txt34,¿Se siente bien mi lengua dentro de tu boca?,Does my tongue feel good inside your mouth?,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/kiss4.png,market1
vnmkt1_txt35,No dejare ni un lugar sin explorar... ,I won't leave a single place unexplored...,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/kiss5.png,market1
vnmkt1_txt36,Disfrutare cada parte de ti...❤,I'll enjoy every part of you...❤,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/kiss5.png,market1
vnmkt1_txt37,Asi que preparate...,So get ready...,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/kiss5.png,market1
vnmkt1_txt38,,,,NORMAL,,market1
vnmkt1_txt39,Tranquila preciosa...,Calm down gorgeous...,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/s1.png,market1
vnmkt1_txt40,No te voy a hacer daño...,I'm not going to hurt you...,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/s1.png,market1
vnmkt1_txt41,Solo voy a probar tu delicioso cuerpo. Jejeje,I'm just going to taste your delicious body. Hehehe,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/s1.png,market1
vnmkt1_txt42,Por favor no lo hagas...,Please don't...,,NORMAL,res://art/cutscenes/market/v1/s1.png,market1
vnmkt1_txt43,!Seamos civilizados!,Let's be civil!,,NORMAL,res://art/cutscenes/market/v1/s1.png,market1
vnmkt1_txt44,!Hablemos por favor!,Please let's talk!,,NORMAL,res://art/cutscenes/market/v1/s1.png,market1
vnmkt1_txt45,,,,NORMAL,,market1
vnmkt1_txt46,!No hay nada que hablar!,There's nothing to talk about!,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/s2.png,market1
vnmkt1_txt47,!Hoy eres completamente mia!,Today you're completely mine!,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/s2.png,market1
vnmkt1_txt48,!Voy a jugar contigo toda la noche! ❤,I'm going to play with you all night long! ❤,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/s2.png,market1
vnmkt1_txt49,!JaJaJa!,HaHaHa!,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/s2.png,market1
vnmkt1_txt50,!Ya Basta por favor!,Please stop!,,NORMAL,res://art/cutscenes/market/v1/s2.png,market1
vnmkt1_txt51,Tienes un culo delicioso ,You have a delicious ass!,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/s2.png,market1
vnmkt1_txt52,!Muero por probarlo!,I'm dying to try it!,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/s2.png,market1
vnmkt1_txt53,Se que esto es un mal entendido... ,I know this is a misunderstanding...,,NORMAL,res://art/cutscenes/market/v1/s2.png,market1
vnmkt1_txt54,Dejame ir a hablar con....,Let me go talk to...,,NORMAL,res://art/cutscenes/market/v1/s2.png,market1
vnmkt1_txt55,,,,NORMAL,,market1
vnmkt1_txt56,!TE DIJE QUE TE CALLARAS MALDITA ZORRA!,I TOLD YOU TO SHUT UP YOU DAMN BITCH!,VENDEDORVISUAL,NORMAL,res://art/cutscenes/market/v1/s3.png,market1
vnmkt1_txt57,!PARA!,STOP!,,NORMAL,res://art/cutscenes/market/v1/s3.png,market1
